hybrid_id, fec,vmm,ch, pedestal [mV]
025040107410003168d2a000a00000e2,2,5,58,166
025040107410003168d2a000a00000e2,2,5,59,170
025040107410003168d2a000a00000e2,2,5,60,167
025040107410003168d2a000a00000e2,2,5,61,168
025040107410003168d2a000a00000e2,2,5,62,171
025040107410003168d2a000a00000e2,2,5,63,167
hybrid_id, fec,vmm,ch, pedestal [mV]
0250401074100031ccaaa000a00000c1,2,6,0,166
0250401074100031ccaaa000a00000c1,2,6,1,165
0250401074100031ccaaa000a00000c1,2,6,2,167
0250401074100031ccaaa000a00000c1,2,6,3,167
0250401074100031ccaaa000a00000c1,2,6,4,165
0250401074100031ccaaa000a00000c1,2,6,5,167
0250401074100031ccaaa000a00000c1,2,6,6,164
0250401074100031ccaaa000a00000c1,2,6,7,164
0250401074100031ccaaa000a00000c1,2,6,8,163
0250401074100031ccaaa000a00000c1,2,6,9,164
0250401074100031ccaaa000a00000c1,2,6,10,160
0250401074100031ccaaa000a00000c1,2,6,11,167
0250401074100031ccaaa000a00000c1,2,6,12,167
0250401074100031ccaaa000a00000c1,2,6,13,167
0250401074100031ccaaa000a00000c1,2,6,14,165
0250401074100031ccaaa000a00000c1,2,6,15,167
0250401074100031ccaaa000a00000c1,2,6,16,167
0250401074100031ccaaa000a00000c1,2,6,17,168
0250401074100031ccaaa000a00000c1,2,6,18,163
0250401074100031ccaaa000a00000c1,2,6,19,167
0250401074100031ccaaa000a00000c1,2,6,20,164
0250401074100031ccaaa000a00000c1,2,6,21,165
0250401074100031ccaaa000a00000c1,2,6,22,170
0250401074100031ccaaa000a00000c1,2,6,23,167
0250401074100031ccaaa000a00000c1,2,6,24,165
0250401074100031ccaaa000a00000c1,2,6,25,163
0250401074100031ccaaa000a00000c1,2,6,26,1043
0250401074100031ccaaa000a00000c1,2,6,27,165
0250401074100031ccaaa000a00000c1,2,6,28,990
0250401074100031ccaaa000a00000c1,2,6,29,167
0250401074100031ccaaa000a00000c1,2,6,30,985
0250401074100031ccaaa000a00000c1,2,6,31,169
0250401074100031ccaaa000a00000c1,2,6,32,1034
0250401074100031ccaaa000a00000c1,2,6,33,168
0250401074100031ccaaa000a00000c1,2,6,34,1044
0250401074100031ccaaa000a00000c1,2,6,35,989
0250401074100031ccaaa000a00000c1,2,6,36,1012
0250401074100031ccaaa000a00000c1,2,6,37,166
0250401074100031ccaaa000a00000c1,2,6,38,165
0250401074100031ccaaa000a00000c1,2,6,39,165
0250401074100031ccaaa000a00000c1,2,6,40,169
0250401074100031ccaaa000a00000c1,2,6,41,166
0250401074100031ccaaa000a00000c1,2,6,42,168
0250401074100031ccaaa000a00000c1,2,6,43,164
0250401074100031ccaaa000a00000c1,2,6,44,165
0250401074100031ccaaa000a00000c1,2,6,45,165
0250401074100031ccaaa000a00000c1,2,6,46,165
0250401074100031ccaaa000a00000c1,2,6,47,168
0250401074100031ccaaa000a00000c1,2,6,48,165
0250401074100031ccaaa000a00000c1,2,6,49,159
0250401074100031ccaaa000a00000c1,2,6,50,165
0250401074100031ccaaa000a00000c1,2,6,51,170
0250401074100031ccaaa000a00000c1,2,6,52,164
0250401074100031ccaaa000a00000c1,2,6,53,167
0250401074100031ccaaa000a00000c1,2,6,54,165
0250401074100031ccaaa000a00000c1,2,6,55,167
0250401074100031ccaaa000a00000c1,2,6,56,169
0250401074100031ccaaa000a00000c1,2,6,57,167
0250401074100031ccaaa000a00000c1,2,6,58,167
0250401074100031ccaaa000a00000c1,2,6,59,161
0250401074100031ccaaa000a00000c1,2,6,60,169
0250401074100031ccaaa000a00000c1,2,6,61,166
0250401074100031ccaaa000a00000c1,2,6,62,166
0250401074100031ccaaa000a00000c1,2,6,63,161
hybrid_id, fec,vmm,ch, pedestal [mV]
0250401074100031ccaaa000a00000c1,2,7,0,178
0250401074100031ccaaa000a00000c1,2,7,1,175
0250401074100031ccaaa000a00000c1,2,7,2,176
0250401074100031ccaaa000a00000c1,2,7,3,179
0250401074100031ccaaa000a00000c1,2,7,4,178
0250401074100031ccaaa000a00000c1,2,7,5,176
0250401074100031ccaaa000a00000c1,2,7,6,172
0250401074100031ccaaa000a00000c1,2,7,7,179
0250401074100031ccaaa000a00000c1,2,7,8,172
0250401074100031ccaaa000a00000c1,2,7,9,176
0250401074100031ccaaa000a00000c1,2,7,10,176
0250401074100031ccaaa000a00000c1,2,7,11,178
0250401074100031ccaaa000a00000c1,2,7,12,1155
0250401074100031ccaaa000a00000c1,2,7,13,173
0250401074100031ccaaa000a00000c1,2,7,14,1155
0250401074100031ccaaa000a00000c1,2,7,15,175
0250401074100031ccaaa000a00000c1,2,7,16,1153
0250401074100031ccaaa000a00000c1,2,7,17,174
0250401074100031ccaaa000a00000c1,2,7,18,172
0250401074100031ccaaa000a00000c1,2,7,19,178
0250401074100031ccaaa000a00000c1,2,7,20,1154
0250401074100031ccaaa000a00000c1,2,7,21,175
0250401074100031ccaaa000a00000c1,2,7,22,1154
