hybrid_id, fec,vmm,ch, threshold [mV]
025040107410003168d2a000a00000e2,2,5,39,251
025040107410003168d2a000a00000e2,2,5,40,248
025040107410003168d2a000a00000e2,2,5,41,250
025040107410003168d2a000a00000e2,2,5,42,247
025040107410003168d2a000a00000e2,2,5,43,249
025040107410003168d2a000a00000e2,2,5,44,252
025040107410003168d2a000a00000e2,2,5,45,251
025040107410003168d2a000a00000e2,2,5,46,251
025040107410003168d2a000a00000e2,2,5,47,250
025040107410003168d2a000a00000e2,2,5,48,248
025040107410003168d2a000a00000e2,2,5,49,253
025040107410003168d2a000a00000e2,2,5,50,248
025040107410003168d2a000a00000e2,2,5,51,252
025040107410003168d2a000a00000e2,2,5,52,248
025040107410003168d2a000a00000e2,2,5,53,249
025040107410003168d2a000a00000e2,2,5,54,251
025040107410003168d2a000a00000e2,2,5,55,251
025040107410003168d2a000a00000e2,2,5,56,250
025040107410003168d2a000a00000e2,2,5,57,251
025040107410003168d2a000a00000e2,2,5,58,249
025040107410003168d2a000a00000e2,2,5,59,252
025040107410003168d2a000a00000e2,2,5,60,249
025040107410003168d2a000a00000e2,2,5,61,251
025040107410003168d2a000a00000e2,2,5,62,253
025040107410003168d2a000a00000e2,2,5,63,249
hybrid_id, fec,vmm,ch, threshold [mV]
0250401074100031ccaaa000a00000c1,2,6,0,246
0250401074100031ccaaa000a00000c1,2,6,1,245
0250401074100031ccaaa000a00000c1,2,6,2,247
0250401074100031ccaaa000a00000c1,2,6,3,247
0250401074100031ccaaa000a00000c1,2,6,4,245
0250401074100031ccaaa000a00000c1,2,6,5,247
0250401074100031ccaaa000a00000c1,2,6,6,244
0250401074100031ccaaa000a00000c1,2,6,7,244
0250401074100031ccaaa000a00000c1,2,6,8,243
0250401074100031ccaaa000a00000c1,2,6,9,245
0250401074100031ccaaa000a00000c1,2,6,10,240
0250401074100031ccaaa000a00000c1,2,6,11,247
0250401074100031ccaaa000a00000c1,2,6,12,248
0250401074100031ccaaa000a00000c1,2,6,13,247
0250401074100031ccaaa000a00000c1,2,6,14,246
0250401074100031ccaaa000a00000c1,2,6,15,248
0250401074100031ccaaa000a00000c1,2,6,16,248
0250401074100031ccaaa000a00000c1,2,6,17,248
0250401074100031ccaaa000a00000c1,2,6,18,243
0250401074100031ccaaa000a00000c1,2,6,19,246
0250401074100031ccaaa000a00000c1,2,6,20,245
0250401074100031ccaaa000a00000c1,2,6,21,245
0250401074100031ccaaa000a00000c1,2,6,22,250
0250401074100031ccaaa000a00000c1,2,6,23,247
0250401074100031ccaaa000a00000c1,2,6,24,245
0250401074100031ccaaa000a00000c1,2,6,25,244
0250401074100031ccaaa000a00000c1,2,6,26,270
0250401074100031ccaaa000a00000c1,2,6,27,244
0250401074100031ccaaa000a00000c1,2,6,28,264
0250401074100031ccaaa000a00000c1,2,6,29,248
0250401074100031ccaaa000a00000c1,2,6,30,264
0250401074100031ccaaa000a00000c1,2,6,31,249
0250401074100031ccaaa000a00000c1,2,6,32,266
0250401074100031ccaaa000a00000c1,2,6,33,248
0250401074100031ccaaa000a00000c1,2,6,34,269
0250401074100031ccaaa000a00000c1,2,6,35,266
0250401074100031ccaaa000a00000c1,2,6,36,267
0250401074100031ccaaa000a00000c1,2,6,37,246
0250401074100031ccaaa000a00000c1,2,6,38,245
0250401074100031ccaaa000a00000c1,2,6,39,245
0250401074100031ccaaa000a00000c1,2,6,40,249
0250401074100031ccaaa000a00000c1,2,6,41,246
0250401074100031ccaaa000a00000c1,2,6,42,248
0250401074100031ccaaa000a00000c1,2,6,43,244
